Module                  Size  Used by
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
i2c_mux                16384  1 i2c_i801
platform_profile       12288  2 asus_wmi,ideapad_laptop
i2c_smbus              16384  1 i2c_i801
int340x_thermal_zone    16384  1 processor_thermal_device
intel_wmi_thunderbolt    16384  0
crypto_simd            16384  1 aesni_intel
joydev                 32768  0
intel_vsec             20480  1 intel_pmc_core
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
pmt_telemetry          16384  1 intel_pmc_core
intel_pch_thermal      20480  0
pmt_class              16384  1 pmt_telemetry
rapl                   20480  0
int3400_thermal        24576  0
acpi_thermal_rel       20480  1 int3400_thermal
intel_cstate           24576  0
wmi_bmof               12288  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
acpi_pad              184320  0
acpi_tad               20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
uas                    28672  0
usb_storage            86016  3 uas
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
hid_rmi                24576  0
rmi_core              118784  1 hid_rmi
videobuf2_vmalloc      20480  2 rmi_core,uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  2 rmi_core,uvcvideo
videodev              360448  3 rmi_core,videobuf2_v4l2,uvcvideo
videobuf2_common       86016  5 videobuf2_vmalloc,rmi_core,videobuf2_v4l2,uvcvideo,videobuf2_memops
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
hid_generic            12288  0
r8169                 118784  0
crc32_pclmul           12288  0
video                  77824  3 asus_wmi,ideapad_laptop,i915
intel_lpss_pci         28672  0
intel_lpss             12288  1 intel_lpss_pci
i2c_hid_acpi           12288  0
ahci                   49152  0
i2c_hid                40960  1 i2c_hid_acpi
xhci_pci               24576  0
realtek                45056  1
xhci_pci_renesas       20480  1 xhci_pci
idma64                 20480  0
libahci                53248  1 ahci
hid                   262144  6 i2c_hid,usbhid,hid_generic,hid_rmi,hid_logitech_dj,hid_logitech_hidpp
wmi                    28672  5 video,intel_wmi_thunderbolt,asus_wmi,wmi_bmof,ideapad_laptop
pinctrl_sunrisepoint    28672  0
